"구분별","상태별","시점","인원[명]",
"전체","신규","2020. 09. 02","267",
"전체","신규","2020. 09. 03","195",
"전체","신규","2020. 09. 04","198",
"전체","신규","2020. 09. 05","168",
"전체","신규","2020. 09. 06","167",
"전체","신규","2020. 09. 07","119",
"전체","신규","2020. 09. 08","136",
"전체","신규","2020. 09. 09","156",
"전체","신규","2020. 09. 10","155",
"전체","신규","2020. 09. 11","176",
"전체","신규","2020. 09. 12","136",
"전체","신규","2020. 09. 13","121",
"전체","신규","2020. 09. 14","109",
"전체","신규","2020. 09. 15","106",
"전체","신규","2020. 09. 16","113",
"전체","신규","2020. 09. 17","153",
"전체","신규","2020. 09. 18","126",
"전체","신규","2020. 09. 19","110",
"전체","신규","2020. 09. 20","82",
"전체","신규","2020. 09. 21","70",
"전체","신규","2020. 09. 22","61",
"전체","신규","2020. 09. 23","110",
"전체","신규","2020. 09. 24","125",
"전체","신규","2020. 09. 25","114",
"전체","신규","2020. 09. 26","61",
"전체","신규","2020. 09. 27","95",
"전체","신규","2020. 09. 28","50",
"전체","신규","2020. 09. 29","38",
"전체","신규","2020. 09. 30","113",
"전체","신규","2020. 10. 01","77",
"전체","신규","2020. 10. 02","63",
"전체","신규","2020. 10. 03","75",
"전체","신규","2020. 10. 04","64",
"전체","신규","2020. 10. 05","73",
"전체","신규","2020. 10. 06","75",
"전체","신규","2020. 10. 07","114",
"전체","신규","2020. 10. 08","69",
"전체","신규","2020. 10. 09","54",
"전체","신규","2020. 10. 10","72",
"전체","신규","2020. 10. 11","58",
"전체","신규","2020. 10. 12","98",
"전체","신규","2020. 10. 13","102",
"전체","신규","2020. 10. 14","84",
"전체","신규","2020. 10. 15","110",
"전체","신규","2020. 10. 16","47",
"전체","신규","2020. 10. 17","73",
"전체","신규","2020. 10. 18","91",
"전체","신규","2020. 10. 19","76",
"전체","신규","2020. 10. 20","58",
"전체","신규","2020. 10. 21","91",
"전체","신규","2020. 10. 22","121",
"전체","신규","2020. 10. 23","155",
"전체","신규","2020. 10. 24","77",
"전체","신규","2020. 10. 25","61",
"전체","신규","2020. 10. 26","119",
"전체","신규","2020. 10. 27","88",
"전체","신규","2020. 10. 28","103",
"전체","신규","2020. 10. 29","125",
"전체","신규","2020. 10. 30","114",
"전체","신규","2020. 10. 31","127",
"전체","신규","2020. 11. 01","124",
"전체","신규","2020. 11. 02","97",
"전체","신규","2020. 11. 03","75",
"전체","신규","2020. 11. 04","117",
"전체","신규","2020. 11. 05","125",
"전체","신규","2020. 11. 06","145",
"전체","신규","2020. 11. 07","89",
"전체","신규","2020. 11. 08","143",
"전체","신규","2020. 11. 09","126",
"전체","신규","2020. 11. 10","100",
"전체","신규","2020. 11. 11","146",
"전체","신규","2020. 11. 12","143",
"전체","신규","2020. 11. 13","191",
"전체","신규","2020. 11. 14","205",
"전체","신규","2020. 11. 15","208",
"전체","신규","2020. 11. 16","223",
"전체","신규","2020. 11. 17","230",
"전체","신규","2020. 11. 18","313",
"전체","신규","2020. 11. 19","343",
"전체","신규","2020. 11. 20","363",
"전체","신규","2020. 11. 21","386",
"전체","신규","2020. 11. 22","330",
"전체","신규","2020. 11. 23","271",
"전체","신규","2020. 11. 24","349",
"전체","신규","2020. 11. 25","382",
"전체","신규","2020. 11. 26","583",
"전체","신규","2020. 11. 27","569",
"전체","신규","2020. 11. 28","504",
"전체","신규","2020. 11. 29","450",
"전체","신규","2020. 11. 30","438",
"전체","신규","2020. 12. 01","451",
"전체","신규","2020. 12. 02","511",
"전체","신규","2020. 12. 03","540",
"전체","신규","2020. 12. 04","629",
"전체","신규","2020. 12. 05","583",
"전체","신규","2020. 12. 06","631",
"전체","신규","2020. 12. 07","615",
"전체","신규","2020. 12. 08","589",
"전체","신규","2020. 12. 09","686",
"전체","신규","2020. 12. 10","682",
"전체","신규","2020. 12. 11","689",
"전체","신규","2020. 12. 12","950",
"전체","신규","2020. 12. 13","1030",
"전체","신규","2020. 12. 14","718",
"전체","신규","2020. 12. 15","880",
"전체","신규","2020. 12. 16","1078",
"전체","신규","2020. 12. 17","1014",
"전체","신규","2020. 12. 18","1062",
"전체","신규","2020. 12. 19","1050",
"전체","신규","2020. 12. 20","1097",
"전체","신규","2020. 12. 21","925",
"전체","신규","2020. 12. 22","867",
"전체","신규","2020. 12. 23","1090",
"전체","신규","2020. 12. 24","985",
"전체","신규","2020. 12. 25","1241",
"전체","신규","2020. 12. 26","1132",
"전체","신규","2020. 12. 27","970",
"전체","신규","2020. 12. 28","807",
"전체","신규","2020. 12. 29","1045",
"전체","신규","2020. 12. 30","1050",
"전체","신규","2020. 12. 31","967",
"전체","신규","2021. 01. 01","1029",
"전체","신규","2021. 01. 02","824",
"전체","신규","2021. 01. 03","657",
"전체","신규","2021. 01. 04","1020",
"전체","신규","2021. 01. 05","715",
"전체","신규","2021. 01. 06","840",
"전체","신규","2021. 01. 07","870",
"전체","신규","2021. 01. 08","674",
"전체","신규","2021. 01. 09","641",
"전체","신규","2021. 01. 10","665",
"전체","신규","2021. 01. 11","451",
"전체","신규","2021. 01. 12","537",
"전체","신규","2021. 01. 13","562",
"전체","신규","2021. 01. 14","524",
"전체","신규","2021. 01. 15","513",
"전체","신규","2021. 01. 16","580",
"전체","신규","2021. 01. 17","520",
"전체","신규","2021. 01. 18","389",
"전체","신규","2021. 01. 19","386",
"전체","신규","2021. 01. 20","404",
"전체","신규","2021. 01. 21","401",
"전체","신규","2021. 01. 22","346",
"전체","신규","2021. 01. 23","431",
"전체","신규","2021. 01. 24","392",
"전체","신규","2021. 01. 25","437",
"전체","신규","2021. 01. 26","350",
"전체","신규","2021. 01. 27","559",
"전체","신규","2021. 01. 28","497",
"전체","신규","2021. 01. 29","469",
"전체","신규","2021. 01. 30","456",
"전체","신규","2021. 01. 31","355",
"전체","신규","2021. 02. 01","305",
"전체","신규","2021. 02. 02","336",
"전체","신규","2021. 02. 03","467",
"전체","신규","2021. 02. 04","451",
"전체","신규","2021. 02. 05","370",
"전체","신규","2021. 02. 06","393",
"전체","신규","2021. 02. 07","371",
"전체","신규","2021. 02. 08","288",
"전체","신규","2021. 02. 09","303",
"남성","신규","2020. 04. 09","22",
"남성","신규","2020. 04. 10","15",
